source_id,source_file,source_title,author,year,extract,chapter,pipeline_step,secondary_step,extract_type,themes,llm_relevance,relevance_rationale,notes
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"The core products for exploring data are Excel, Google Docs, and Fusion Tables. The team has also used MySQL, Access databases, and Solr to explore larger datasets; and used RDF and SPARQL to begin looking at ways in which we can model events using Linked Data technologies. Developers also use their programming language of choice, whether that's ActionScript, Python, or Perl, to match, parse, or generally pick apart a dataset.",Data Journalism at the BBC,Analyse,,tool-specific,Excel; Google Docs; Fusion Tables; MySQL; Python,needs_update,Specific tool workflows change significantly with LLM-assisted alternatives,BBC toolstack circa 2012
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"It's important that we sit in the newsroom. We usually find work via face-to-face conversations with reporters. They know that we're happy to help write a screen scraper for a crummy government website, tear up a stack of PDFs, or otherwise turn non-data into something you can analyze. It's sort of our team's loss leader; this way we find out about potential data projects at the outset.",How the News Apps Team at the Chicago Tribune Works,Define,,organizational,newsroom embedding; reporter support; loss leader strategy,endures,Newsroom organization and collaboration patterns remain relevant regardless of AI tools,"Brian Boyer, Chicago Tribune"
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"We work in an agile fashion. Every morning begins with a 5-minute stand-up meeting. We frequently program in pairs; two developers at one keyboard are often more productive than two developers at two keyboards. Most projects don't take more than a week to produce, but on longer projects we work in week-long iterations, and show our work to stakeholders every week. 'Fail fast' is the mantra.",How the News Apps Team at the Chicago Tribune Works,Define,,organizational,agile methodology; pair programming; iteration; fail fast,endures,Newsroom organization and collaboration patterns remain relevant regardless of AI tools,"Brian Boyer, Chicago Tribune"
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,Our work sings when it helps a reader find his or her own story in the data. The written piece will speak to the trend and humanize it with a few anecdotes. But what's the reader to do when they've finished the story? Is their family safe? Are their children being educated properly?,How the News Apps Team at the Chicago Tribune Works,Present,,epistemological,personalization; reader engagement; news apps,endures,Core data journalism insight persists regardless of AI tooling,Brian Boyer on impact
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"Firstly, we locate the data or receive it from a variety of sources. We then start looking at what we can do with the data; do we need to mash it up with another dataset? How can we show changes over time? Those spreadsheets often have to be seriously tidied up—all those extraneous columns and weirdly merged cells really don't help. And that's assuming it's not a PDF, the worst format for data known to humankind.",Behind the Scenes at the Guardian Datablog,Clean,,procedural,data cleaning; workflow; PDF problems; data wrangling,needs_update,Manual data processing method can be augmented or streamlined by LLMs,Simon Rogers on Guardian Datablog process
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"Often official data comes with the official codes added in; each school, hospital, constituency, and local authority has a unique identifier code. Countries have them too. They're useful because you may want to start mashing datasets together, and it's amazing how many different spellings and word arrangements can get in the way of that. Codes allow us to compare like with like.",Behind the Scenes at the Guardian Datablog,Clean,Analyse,procedural,unique identifiers; data linking; entity resolution,needs_update,Data acquisition and cleaning workflows benefit from LLM-era tooling updates,Simon Rogers on identifier codes
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"Numbers without analysis are just numbers, which is where we fit in. When Britain's prime minister claims the riots in August 2011 were not about poverty, we were able to map the addresses of the rioters with poverty indicators to show the truth behind the claim.",Behind the Scenes at the Guardian Datablog,Analyse,,epistemological,accountability; claim testing; data mashup,endures,Foundational epistemological principle remains essential in any technological era,Simon Rogers
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"When dealing with deadlines, it's better to be a jack of all trades than a master of one. News apps require data wrangling, dynamic graphics, and derring-do. Holistic thinking favors narrative value over technical detail. Building things fast requires mixed teams working towards common goals.",How to Hire a Hacker,Define,,organizational,hiring; developer skills; full-stack; narrative thinking,endures,Newsroom organization and collaboration patterns remain relevant regardless of AI tools,"Alastair Dant, Guardian, on what makes a good news hacker"
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"It's not enough to just hire developers. You need technical management. A lone-gun developer (especially fresh from journalism school, with no industry experience) is going to make many bad decisions. Even the best programmer, when left to her own devices, will choose technically interesting work over doing what's most important to your audience.",How to Hire a Hacker,Define,,organizational,technical management; editorial oversight; developer management,endures,Newsroom organization and collaboration patterns remain relevant regardless of AI tools,Brian Boyer
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"Think outside your country. In many instances, it is much easier to get information from abroad than from within the country where the investigative journalist operates. Information gathered from abroad via foreign information databases or by using other countries' access to information laws might be just what you need to put the investigative puzzle together.",Following the Money: Data Journalism and Cross-Border Collaboration,Find,Get,procedural,cross-border investigation; foreign databases; FOI,endures,Core journalistic procedure remains essential regardless of tooling,"Paul Radu, OCCRP"
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"Make use of existing investigative journalism networks. Journalists can make use of professional journalism platforms where global journalism related information is exchanged on a daily basis. Many of the reporters grouped in networks work on similar issues and confront similar situations, so it makes a lot of sense to exchange information and methods.",Following the Money: Data Journalism and Cross-Border Collaboration,Find,,organizational,journalism networks; collaboration; information exchange,endures,Newsroom organization and collaboration patterns remain relevant regardless of AI tools,"Paul Radu, OCCRP"
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"Our job as data journalists is to provide the framework or environment for this. As well as the coding and data management bits, we have to think of clever ways to design experiences. The User Experience (UX) derives mostly from the (Graphical) User Interface (GUI). In the end, this is the part which will make or break a project.",Our Stories Come As Code,Present,,epistemological,UX design; interface design; user experience,endures,Core data journalism insight persists regardless of AI tooling,"Lorenz Matzat, OpenDataCity"
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"Data projects don't date. Depending on their design, new material can be added to data journalism apps. You can build on your past work: when undertaking a data project, you will often create bits of code that can be reused or updated. The next project might take half the time.",Our Stories Come As Code,Present,,organizational,reusability; sustainability; code reuse; long-term value,endures,Newsroom organization and collaboration patterns remain relevant regardless of AI tools,"Lorenz Matzat, arguments for publishers"
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"The approach requires not only programming skills, but also an understanding of what kind of information can make a story with impact. It can safely be said that anyone who wishes to imitate their service would probably have to acquire those two skill sets through partnership, because individuals rarely possess both.",Kaas & Mulvad: Semi-Finished Content for Stakeholder Groups,Define,,organizational,programming plus journalism; partnership model; dual skills,endures,Newsroom organization and collaboration patterns remain relevant regardless of AI tools,Kaas & Mulvad business model
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"The first step should be to look for immediate opportunities close to home: low-hanging fruit. For example, you might already have collections of structured texts and data that you could use. A prime example is the Homicide database of the Los Angeles Times. Here, data and visualizations are the core, not an afterthought. The editors collect all the crimes they find and only then write articles based on this.",Business Models for Data Journalism,Find,,procedural,low-hanging fruit; data-first workflow; accumulated databases,endures,Core journalistic procedure remains essential regardless of tooling,Mirko Lorenz
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"The project really required our combined skills: deep domain knowledge, an understanding of data best practices, design and coding skills. More importantly it required an ability to find the story in the data. It also took editing, not only for the story that went with it, but for the news app itself.",The Opportunity Gap,Analyse,,organizational,combined skills; domain knowledge; app editing,endures,Newsroom organization and collaboration patterns remain relevant regardless of AI tools,"Scott Klein, ProPublica"
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"We worked really hard at making sure the app told a 'far' story and a 'near' story. That is, the app needed to present the reader with a broad, abstract national picture; a way to compare how states did relative to each other. But given that abstraction sometimes leaves readers confused as to what the data means to them, we also wanted readers to be able to find their own local school and compare it.",The Opportunity Gap,Present,,procedural,far and near story; abstraction vs personalization; narrative design,endures,Core journalistic procedure remains essential regardless of tooling,"Scott Klein, ProPublica"
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"You have to know the material and be inquisitive\! All of the rules that apply to other kinds of journalism apply here. You have to get the facts right, make sure you tell the story well, and—crucially—make sure your news app doesn't disagree with a story you're writing. If it does, one of the two might be wrong.",The Opportunity Gap,Verify,,procedural,fact-checking; consistency check; news app verification,endures,Core journalistic procedure remains essential regardless of tooling,"Scott Klein, ProPublica"
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"Before you tackle a project of this level of effort, you have to be certain that the findings are original, and that you will end up with good stories nobody else has. The process was broken up into a number of distinct steps: 1. Identify who keeps the data and how it is kept. 2. Download and prepare the data. 3. Create a database. 4. Double-checking and analysis.",A Nine Month Investigation into European Structural Funds,Define,,procedural,investigation planning; originality; workflow steps,endures,Core journalistic procedure remains essential regardless of tooling,"Cynthia O'Murchu, FT/BIJ EU Structural Funds"
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"Our biggest task was extracting data out of PDFs, some hundreds of pages long. Much of this was done using UnPDF and ABBYY FineReader, which allow data to be extracted to formats such as CSV or Excel. It also involved checking and double-checking that the PDF extraction tools had captured the data correctly. This was done using filtering, sorting, and summing up totals to ensure it corresponded with what was printed on the PDFs.",A Nine Month Investigation into European Structural Funds,Clean,Verify,procedural,PDF extraction; data validation; ABBYY FineReader; UnPDF,needs_update,Manual data processing method can be augmented or streamlined by LLMs,FT/BIJ project
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"With help of Google Translate, which was plugged into the search functionality of our database, keywords would be translated into 21 languages and would return appropriate results. These could be downloaded and reporters could do further research on the individual projects of interest.",A Nine Month Investigation into European Structural Funds,Analyse,,tool-specific,multilingual search; Google Translate; SQL database; cross-border data,needs_update,Specific tool workflows change significantly with LLM-assisted alternatives,FT/BIJ database search approach
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"Sometimes I spent hours gathering information only to find out that it told me, well, nothing. That I had dug up the entirely wrong set of numbers. Sometimes the data were just too old. Mornings I'd export data into spreadsheets and make charts to see trends. Afternoons I'd look at those data in clusters, putting the countries against each other to find stories.",The Eurozone Meltdown,Analyse,,procedural,exploratory analysis; dead ends; iterative process; charting trends,needs_update,Manual data processing method can be augmented or streamlined by LLMs,"Sarah Slobin, WSJ"
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"Journalists are often not used to working with raw data, and many don't consider it a necessary foundation for their reporting. Analyzing and understanding data is a time-intensive process, even with the necessary skills. Fitting this into a short-lived news cycle is hard, so data journalism is often used in longer-term, investigative projects.",Covering the Public Purse with OpenSpending.org,Define,,epistemological,time constraints; news cycle; investigative projects; raw data culture,endures,Core data journalism insight persists regardless of AI tooling,"Lucy Chambers and Jonathan Gray, OKF"
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"Data released by governments is often incomplete or outdated. Very often, public databases cannot be used for investigative purposes without the addition of more specific pieces of information requested through FOI. Advocacy groups, scholars, and researchers often have more time and resources to conduct more extensive data-driven research than journalists. It can be very fruitful to team up with them.",Covering the Public Purse with OpenSpending.org,Get,,procedural,incomplete data; FOI supplements; academic partnerships,needs_update,Data acquisition and cleaning workflows benefit from LLM-era tooling updates,"Lucy Chambers and Jonathan Gray, OKF"
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"The tools we used for the project were Excel and Google Refine for data cleaning and analysis; Cytoscape for network analysis; and Illustrator and Flash for the visualizations. The most important lesson was that data structures can be very hard. If the original data is not in suitable format, recalculating and converting it will take a lot of time.",Finnish Parliamentary Elections and Campaign Funding,Clean,Analyse,tool-specific,Google Refine; Cytoscape; network analysis; data format challenges,needs_update,Specific tool workflows change significantly with LLM-assisted alternatives,Helsingin Sanomat
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"Almost all projects stalled when searching for information. Most of the time, they began with a journalistic question. But then? What data is available? Where can you find it? And when you find this data, can you answer your question with it? Journalists usually know where they can find information when doing research for an article. With data journalism, most journalists don't know what information is available.",Harnessing External Expertise Through Hackathons,Find,,epistemological,data discovery challenge; question-first approach; information gap,endures,Core data journalism insight persists regardless of AI tooling,RegioHack lessons learned
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"For data journalism to work, we have to integrate it in the newsroom. Journalists have to think in data, in addition to quotes, press releases, council meetings, and so on.",Harnessing External Expertise Through Hackathons,Define,,organizational,newsroom integration; data mindset; cultural change,endures,Newsroom organization and collaboration patterns remain relevant regardless of AI tools,Jerry Vermanen
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,Our team built a simple internal database using SQL. Reporters could now search stories for key words or events. Suddenly the dataset became accessible and generating stories became easier. We also started filtering the data to help us tell one of the key stories of the war.,Data in the News: WikiLeaks,Analyse,Clean,procedural,SQL database; keyword search; filtering; WikiLeaks,needs_update,Manual data processing method can be augmented or streamlined by LLMs,Simon Rogers on processing Afghan war logs
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,We worked with the reporters and editor from the education team to choose the interesting data. There's a lot of data out there that seems interesting but which a reporter will tell you is actually flawed or misleading. We also surveyed and interviewed folks with school-age kids in our newsroom. We did this because of an empathy gap—nobody on the news apps team has school-age kids.,Illinois School Report Cards,Define,,procedural,domain expertise; user research; empathy gap; editorial collaboration,endures,Core journalistic procedure remains essential regardless of tooling,"Brian Boyer, Chicago Tribune"
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"The graphics desk is your friend. They're good at making complex information digestible. Ask the newsroom for help—a newsroom-wide survey and interviews is a great way to get the opinion of thoughtful people who, like our audience, are diverse in background. Show your work\! Much of our feedback has been requests for the data that the application used.",Illinois School Report Cards,Present,,procedural,graphics desk; user feedback; open data; newsroom consultation,endures,Core journalistic procedure remains essential regardless of tooling,"Brian Boyer, Chicago Tribune"
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,Stories like these become possible when you use data to produce evidence to test independently allegations being made by sources who may have their own agendas. These stories also are a good example of the necessity for strong public records laws.,Hospital Billing,Verify,Analyse,epistemological,independent verification; source agendas; public records,endures,Core data journalism insight persists regardless of AI tooling,Steve Doig on California hospital billing investigation
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"Make sure you keep notes on how you manipulate the original data. Keep a copy of the original data and never change the original. Check and double-check the data. Do the analysis several times (if need be, from scratch).",Care Home Crisis,Verify,Clean,procedural,data provenance; audit trail; original data preservation; reproducibility,endures,Core journalistic procedure remains essential regardless of tooling,"Cynthia O'Murchu, FT"
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"The data was given to us as a 1,200 page PDF document, which we then had to convert into a spreadsheet to do the analysis. As well as reporting our conclusions, we published this Excel spreadsheet on the BBC News website along with our story. This gave everyone else access to the data in a usable form. Others then used this data for their own analyses. We added links to these sites to our online news story.",Which Car Model? MOT Failure Rates,Present,Get,procedural,open data publishing; raw data release; community analysis; PDF conversion,needs_update,Manual data processing method can be augmented or streamlined by LLMs,"Martin Rosenbaum, BBC"
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"It's part of incorporating accountability and transparency into the journalistic process. Others can understand your methods and check your work if they want to. Other people may spot points of significant interest which you've missed, or simply details that matter to them even if they weren't important enough to feature in your story.",Which Car Model? MOT Failure Rates,Present,,epistemological,transparency; accountability; open methods; community verification,endures,Foundational epistemological principle remains essential in any technological era,"Martin Rosenbaum, BBC, on why to release data"
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,We teamed up with a senior programmer to develop a scraper in order to automate the regular download and conversion of these PDFs into Excel and Database files. We developed a normalizer to allow us to reconcile bus company names and cross-reference the two datasets. We reverse engineered the license plates for buses belonging to all listed companies to find the average age of buses per company.,Bus Subsidies in Argentina,Get,Clean,procedural,web scraping; PDF conversion; entity reconciliation; reverse engineering,needs_update,Manual data processing method can be augmented or streamlined by LLMs,La Nacion bus subsidies investigation
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"Crowdsourcing works best when users do a data collection or data-refining task. We pondered whether to ask users for a scan of the original bill, thinking it would deter some of them. While it might have put off some, it increased the credibility of the data. We designed a point system and a peer-review mechanism to vet user contributions.",Crowdsourcing the Price of Water,Get,Verify,procedural,crowdsourcing; data collection; source verification; peer review,needs_update,Data acquisition and cleaning workflows benefit from LLM-era tooling updates,"Nicolas Kayser-Bril, prix de l'eau"
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"When searching for data, make sure that you include both search terms relating to the content of the data you're trying to find, as well as some information on the format or source. Google and other search engines allow you to search by file type. For example, you can look only for spreadsheets (by appending your search with 'filetype:XLS filetype:CSV'), geodata ('filetype:shp'), or database extracts ('filetype:MDB, filetype:SQL, filetype:DB').",A Five Minute Field Guide,Find,,procedural,search techniques; file type search; Google advanced search,needs_update,Manual data processing method can be augmented or streamlined by LLMs,
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"The first trick I use in getting hold of data held by a public entity is to try to go directly to the data holder, not the public affairs person, not through an FOIA. If I first successfully reach the person who handles data for that organization, I can ask questions about what data they keep on the subject and how they keep it. I can find out the format. I can speak data-language and find out what I need to know to successfully request the data.",A Five Minute Field Guide,Get,,procedural,direct contact; data holder; pre-FOI research; format discovery,needs_update,Data acquisition and cleaning workflows benefit from LLM-era tooling updates,"Cheryl Phillips, Seattle Times"
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"If this method does not work, my fallback is to ask first for their record layout and data dictionary in a request. Then, I actually request the data. I sometimes will also ask first how they keep the data, and in what system. That way, I can research the ways the data can be exported in advance of writing my request.",A Five Minute Field Guide,Get,,procedural,record layout; data dictionary; FOI strategy; pre-request research,needs_update,Data acquisition and cleaning workflows benefit from LLM-era tooling updates,Cheryl Phillips
